prefecture,area,suumo_count,workplace_straight_distance_km,median_rent_est_yen,foreign_resident_ratio_pct_2020,estimated_avg_age_2020,crime_count,crime_rate_per_1000,population_2020,notes,representative_point,distance_basis,suumo_search_names,stat_names,sc_codes,bucket_count_sum,crime_basis,suumo_source_url
大阪府,大阪市東成区,1834.0,8.9,164882.62910798125,7.211504487315384,45.10330614050176,904.0,10.647068522837019,84906.0,大阪市は区単位,大阪府大阪市東成区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市東成区,大阪市東成区,27115,2156.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27115&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市生野区,957.0,10.8,128686.13138686132,18.582346888279698,47.61698719303436,1362.0,10.698379533261592,127309.0,大阪市は区単位,大阪府大阪市生野区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市生野区,大阪市生野区,27116,1184.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27116&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市旭区,667.0,3.8,154391.1439114391,2.278353964536634,46.776847441134215,836.0,9.323073491691758,89670.0,大阪市は区単位,大阪府大阪市旭区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市旭区,大阪市旭区,27117,786.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27117&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市城東区,1739.0,5.4,168857.83718104495,2.7797660950172443,44.59631772152657,1247.0,7.376821282158978,169043.0,大阪市は区単位,大阪府大阪市城東区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市城東区,大阪市城東区,27118,2051.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27118&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市阿倍野区,1475.0,12.9,174121.62162162163,2.5568719311680708,44.36554703832753,1289.0,11.613135726834543,110995.0,大阪市は区単位,大阪府大阪市阿倍野区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市阿倍野区,大阪市阿倍野区,27119,1706.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27119&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市住吉区,2215.0,17.1,143926.99115044248,2.208342044741794,45.955874661214395,1417.0,9.25804934141752,153056.0,大阪市は区単位,大阪府大阪市住吉区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市住吉区,大阪市住吉区,27120,2489.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27120&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市東住吉区,2168.0,14.4,155731.09243697478,2.3582507489303786,46.228284532272966,1441.0,11.271108886264265,127849.0,大阪市は区単位,大阪府大阪市東住吉区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市東住吉区,大阪市東住吉区,27121,2446.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27121&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市西成区,159.0,14.2,132058.82352941175,6.902206180320608,51.1518964296551,2302.0,21.694263554202674,106111.0,大阪市は区単位,大阪府大阪市西成区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市西成区,大阪市西成区,27122,203.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27122&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市淀川区,1754.0,8.4,171518.5185185185,3.5345936634613286,44.25765386431607,2153.0,11.736551754213819,183444.0,大阪市は区単位,大阪府大阪市淀川区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市淀川区,大阪市淀川区,27123,2063.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27123&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市鶴見区,1356.0,4.6,141091.37055837564,1.6673913622205854,42.77835232647178,852.0,7.56049728904704,112691.0,大阪市は区単位,大阪府大阪市鶴見区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市鶴見区,大阪市鶴見区,27124,1396.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27124&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市住之江区,1117.0,17.2,145269.23076923078,3.055666600039976,47.08357230643178,1372.0,11.426477446865213,120072.0,大阪市は区単位,大阪府大阪市住之江区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市住之江区,大阪市住之江区,27125,1303.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27125&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市平野区,2051.0,14.0,106589.86175115209,3.8271784837004037,46.02146810683003,1702.0,8.857571089554103,192152.0,大阪市は区単位,大阪府大阪市平野区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市平野区,大阪市平野区,27126,2524.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27126&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市北区,4508.0,7.3,210664.8936170213,3.5070600390311104,42.76677791705438,4789.0,34.36029158535185,139376.0,大阪市は区単位,大阪府大阪市北区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市北区,大阪市北区,27127,4185.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27127&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市中央区,5767.0,9.2,263629.18509159825,7.031988122553651,41.93509770611669,6162.0,59.40651331392322,103726.0,大阪市は区単位,大阪府大阪市中央区,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,大阪市中央区,大阪市中央区,27128,5771.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27128&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,堺市,11055.0,20.8,114965.79247434436,1.5113276952071086,45.6448266118388,6651.0,8.050488948280057,826161.0,堺市7区を市単位に集約,大阪府堺市,職場所在地から国土地理院住所検索で得た市区町村代表点までの直線距離。郡単位は構成町村代表点の平均点。,堺市堺区 / 堺市中区 / 堺市東区 / 堺市西区 / 堺市南区 / 堺市北区 / 堺市美原区,堺市,"27141,27142,27143,27144,27145,27146,27147",12495.0,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27141&sc=27142&sc=27143&sc=27144&sc=27145&sc=27146&sc=27147&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
