prefecture,area,suumo_count,mean_rent_est_yen,median_rent_est_yen,foreign_resident_ratio_pct_2020,estimated_avg_age_2020,crime_count,crime_rate_per_1000,population_2020,notes,suumo_search_names,stat_names,sc_codes,bucket_count_sum,crime_basis,suumo_source_url
大阪府,大阪市東成区,1834,164023.65491651202,164882.62910798125,7.211504487315384,45.10330614050176,904,10.647068522837019,84906.0,大阪市は区単位,大阪市東成区,大阪市東成区,27115,2156,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27115&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市生野区,957,130540.54054054055,128686.13138686132,18.582346888279698,47.61698719303436,1362,10.698379533261592,127309.0,大阪市は区単位,大阪市生野区,大阪市生野区,27116,1184,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27116&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市旭区,667,149478.37150127225,154391.1439114391,2.278353964536634,46.776847441134215,836,9.323073491691758,89670.0,大阪市は区単位,大阪市旭区,大阪市旭区,27117,786,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27117&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市城東区,1739,162179.42467089224,168857.83718104495,2.7797660950172443,44.59631772152657,1247,7.376821282158978,169043.0,大阪市は区単位,大阪市城東区,大阪市城東区,27118,2051,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27118&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市阿倍野区,1475,183710.43376318878,174121.62162162163,2.5568719311680708,44.36554703832753,1289,11.613135726834543,110995.0,大阪市は区単位,大阪市阿倍野区,大阪市阿倍野区,27119,1706,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27119&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市住吉区,2215,152936.9224588188,143926.99115044248,2.208342044741794,45.955874661214395,1417,9.25804934141752,153056.0,大阪市は区単位,大阪市住吉区,大阪市住吉区,27120,2489,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27120&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市東住吉区,2168,152769.82829108747,155731.09243697478,2.3582507489303786,46.228284532272966,1441,11.271108886264265,127849.0,大阪市は区単位,大阪市東住吉区,大阪市東住吉区,27121,2446,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27121&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市西成区,159,143719.21182266012,132058.82352941175,6.902206180320608,51.1518964296551,2302,21.694263554202674,106111.0,大阪市は区単位,大阪市西成区,大阪市西成区,27122,203,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27122&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市淀川区,1754,182161.9001454193,171518.5185185185,3.5345936634613286,44.25765386431607,2153,11.736551754213819,183444.0,大阪市は区単位,大阪市淀川区,大阪市淀川区,27123,2063,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27123&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市鶴見区,1356,141722.7793696275,141091.37055837564,1.6673913622205854,42.77835232647178,852,7.56049728904704,112691.0,大阪市は区単位,大阪市鶴見区,大阪市鶴見区,27124,1396,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27124&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
